[2025-11-18 09:11:50] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-17
正在获取论文...
[arXiv] 2025-11-17 | Segment Anything Across Shots: A Method and Benchmark
[IEEE] 2025-11-17 | Dynamic Fuzzy Control for Robust Trajectory Tracking of the Pelican Robot in Dynamic Environments
[IEEE] 2025-11-17 | YOLO-Powered Detection of Helmets and Number Plates for Enforcing Safety on Wheels
[IEEE] 2025-11-17 | Transforming Carbon Credit Trading Through Tokenization: A Blockchain-Based Approach to Sustainable Finance
[IEEE] 2025-11-17 | Real-Time Predictive Analytics in Streaming Data: Merging Data Science with Cloudless Computing
[ACM] 2025-11-17 | Exploring Design Spaces of Digital Platforms from an Entanglement Perspective
[ACM] 2025-11-17 | Stress Less, Research More: Mitigating Technostress Among Doctoral Researchers
[ACM] 2025-11-17 | ecoAIware: Exploring Public Awareness of Generative AI’s Environmental Footprint Through Participatory Data Physicalizations
[ACM] 2025-11-17 | Privi: Assisting Users in Authoring Contextual Privacy Rules with an LLM Sandbox
[ACM] 2025-11-17 | Towards Structurally Extensible Host Network Stacks
[ACM] 2025-11-17 | Anyone, Anywhere, not Everyone, Everywhere: Starlink Doesn't End the Digital Divide
[IEEE] 2025-11-17 | ICSCC 2025 Cover Page
[IEEE] 2025-11-17 | 2025 26th International Conference on Computational Problems of Electrical Engineering (CPEE)
[IEEE] 2025-11-17 | Title Page
[IEEE] 2025-11-17 | Multi-Scale Dilated Window Attention Transformer for Grade Prediction of Zinc Concentrate
[IEEE] 2025-11-17 | <i>CasFly</i>
                    : Causal Chain Tracing Across Fragmented Edge Data for IoT Healthcare
[IEEE] 2025-11-17 | A Novel Generalized Capacitive Coupler Model With Application to Unilateral Compensated Capacitive Power Transfer Systems
[IEEE] 2025-11-17 | VOCALoco: Viability-Optimized Cost-aware Adaptive Locomotion_supp1-3632604.mp4
[IEEE] 2025-11-17 | OwlSight: A Robust Illumination Adaptation Framework for Dark Video Human Action Recognition
[IEEE] 2025-11-17 | 3D Trajectory and Pickup/Drop-Off Strategy for UAV-Enabled Delivery: Trade-Off Between Time and Energy Minimization
[IEEE] 2025-11-17 | A Comprehensive Survey on Data Distillation: Techniques, Frameworks, and Future Directions
[IEEE] 2025-11-17 | ASAP-ML: Antibiotic Susceptibility and Antibiogram Prediction with Machine Learning Methods
[IEEE] 2025-11-17 | Dynamic Backbone Optimization of YOLOv10 for Real-Time Object Detection in UAV-Based Search and Rescue Missions
[IEEE] 2025-11-17 | A Lightweight Physics-Informed Neural Network for Sim-to-Real of Biped Robot_supp1-3632659.mp4
[IEEE] 2025-11-17 | Allosteric Rate Control of Chaos Governs Reaction Rate Kinetics
[IEEE] 2025-11-17 | ClothMate: Leveraging Grasp-Fling Consistency for Generalizable and Data-Efficient Garment Flattening_supp1-3632758.mp4
[IEEE] 2025-11-17 | Integrated Sensing and Communications Framework for 6G Networks
[IEEE] 2025-11-17 | CardioMind: Deep Learning Framework for Stress Detection Using IoT Devices
[IEEE] 2025-11-17 | Small Packets, Big Challenges: Enhancing Reliability in High-Speed, Low-Latency Inter-FPGA Communication
[IEEE] 2025-11-17 | Permission Manager: A Web-Based Tool for Application Permission Analysis and Privacy Protection
[IEEE] 2025-11-17 | Enhanced Fault Detection in SRAM-Based FIFO Buffer using MARCH Test Algorithms for MBIST Architectures
[IEEE] 2025-11-17 | Promoting Creative Thinking in Economics Instruction Through Learning Management Systems
[IEEE] 2025-11-17 | Predicting the Increase in Peak Demand on the Electrical Grid in Ontario due to the Electrification of Space Heating using Air Source Heat Pumps
[IEEE] 2025-11-17 | Explainable Brain Tumor Classification Using Grad-CAM and a Transfer Learning Approach
[IEEE] 2025-11-17 | Determinants of Degree Completion in Financial Engineering at Riga Technical University
[IEEE] 2025-11-17 | Real Time Trade Settlement for the US Market
[IEEE] 2025-11-17 | Optimization of Renewable Energy Resources in Smart Grids: Review of Techniques and Objectives
[IEEE] 2025-11-17 | Enhancing Financial Forecasting with a Hybrid LSTM-Graph Neural Network Model
[IEEE] 2025-11-17 | Radar Yolo: Resolving Radar Ambiguities With a Tracker
[IEEE] 2025-11-17 | Modelling the Powertrain and Aerodynamic Behaviour of a Small Electric Aircraft
[IEEE] 2025-11-17 | Merging Control in Autonomous Driving
[IEEE] 2025-11-17 | LHF-NTT: Local Horizontal Folding Number Theoretic Transform Hardware Accelerator
[IEEE] 2025-11-17 | Predicting Airborne Particulate Matter Levels using Machine Learning Techniques
[IEEE] 2025-11-17 | Comparative Analysis of Machine Learning Models for Breast Cancer Classification Using Statistical Testing
[IEEE] 2025-11-17 | Design and Development of a Fractal Antenna for Material Classification
[IEEE] 2025-11-17 | From RF to Light to Spikes: A Neuromorphic Pipeline for Real-Time RF Signal Classification
[IEEE] 2025-11-17 | Transformer Fault Diagnosis Method Based on ACGAN and IGWO-GBDT
[IEEE] 2025-11-17 | All About Nothing: Towards Zero-Cost Hardware Accelerated RISC-V Interrupt Handling in Rust
[IEEE] 2025-11-17 | A (145, 128) DEC-TED BCH Decoder with Composite Field and Redundant Arithmetic
[IEEE] 2025-11-17 | Discovery of Novel Deep Learning Framework for Improved Cataract State Detection
[IEEE] 2025-11-17 | Retail Demand Forecasting in Inventory with External Influences: A Comparative Study of Machine Learning Models
[IEEE] 2025-11-17 | Meta-Reinforcement Learning for Building Energy Management System
[IEEE] 2025-11-17 | Peak Power Tracking in Solar PV Systems using ML and P&amp;O Algorithm
[IEEE] 2025-11-17 | Weather Prediction Using Machine Learning: A Hybrid Voting and Stacking Ensemble Approach
[IEEE] 2025-11-17 | Explainable AI Based Meta-Learning to Enhance Patient-Specific ECG Anomaly Detection Using Model-Agnostic Meta-Learning (MAML)
[IEEE] 2025-11-17 | An Analysis of Vaccination Strategies on Epidemic Spread in a Friendship Network
[IEEE] 2025-11-17 | Energy Saving Routing Protocol Optimisation Techniques for Mobile IoT Ad Hoc Networks
[IEEE] 2025-11-17 | Real-Time Fire Detection Leveraging Enhanced Convolutional Neural Networks for Improved Safety and Swift Emergency Response
[IEEE] 2025-11-17 | Emotion Detection Framework for Mental Health Monitoring Using Reservoir Computing
[IEEE] 2025-11-17 | Research on the Dynamic Cost Optimization Method of Data-Driven Power Transmission and Transformation Engineering
[IEEE] 2025-11-17 | An Artificial Intelligence and Natural Language Processing Based System for Tourism Recommendation
[IEEE] 2025-11-17 | A Unified Dehazing Framework: Synergizing CLAHE and Dark Channel Prior in YCbCr Space to Optimize Quality and Latency
[IEEE] 2025-11-17 | Experimental Evaluation of Spectrum Sensing for Cognitive Radio IoT
[IEEE] 2025-11-17 | A 4-W Ka-Band High-Efficiency 0.15 μm GaAs Stacked Power Amplifier Design
[IEEE] 2025-11-17 | Secondary Control of Shunt-Constructed Grid-Type Converter Based on Consistency Algorithm Strategy
[ACM] 2025-11-18 | ReTiDe: Real-Time Denoising for Energy-Efficient Motion Picture Processing with FPGAs
[ACM] 2025-11-17 | Towards Trustworthy AI: A Review of Ethical and Robust Large Language Models
[ACM] 2025-11-17 | Towards an Agentic Workflow for Internet Measurement Research
[IEEE] 2025-11-17 | Provision of Secondary Reserve from Photovoltaic and Wind Power Sources via Interconnections among Balancing Areas
[IEEE] 2025-11-17 | A Comprehensive Analysis of the MOSFET Model
[IEEE] 2025-11-17 | A Periodic Scheduling Method for Dual-Arm Cluster Tools Considering Wafer Priority and Residency Time Constraint_supp1-3629134.pdf
[IEEE] 2025-11-17 | Agreement-free Encryption Tunnel in Public Safety Communication
[IEEE] 2025-11-17 | Optimizing VM Performance Monitoring on Commodity x86 Platforms With PMU Passthrough
[IEEE] 2025-11-17 | A Semantic Representation Framework for Diverse DAS Noise Suppression Using Spatially Adaptive Discriminative GAN
[IEEE] 2025-11-17 | STAGE: Spatial Transformation-Aware Geometric Encoding Empowered Transformer for Multimodal 2D Object Detection
[IEEE] 2025-11-17 | A Framework for Improving Social Inclusion Using Network Analysis and IoT-Based Contact Tracing
[IEEE] 2025-11-17 | Rethinking Secure Resource Allocation: When NOMA Meets Finite Blocklength
[IEEE] 2025-11-17 | Compilation Framework for Dynamically Reconfigurable Array Architectures
[IEEE] 2025-11-17 | SOCC 2025 Message from General Chairs
[IEEE] 2025-11-17 | Multimodal Thermal and Depth Imaging for Back Acupoint Localization in Massage Robots
[IEEE] 2025-11-17 | Robust Position Tracking Control of Electro-Hydraulic Actuators: Elimination of Velocity Measurements
[IEEE] 2025-11-17 | Squeeze-and-Excitation-Enhanced CNN for Robust DOA Estimation in Interfered Environments
[IEEE] 2025-11-17 | Velocity2DMs: A Contextual Modeling Approach to Dynamics Marking Prediction in Piano Performance
[IEEE] 2025-11-17 | A Model Reduction Approach for Discrete-Time Coupled Systems With Input Delays Via Bivariate Fundamental Matrices
[IEEE] 2025-11-17 | Equity Aware Peer-to-Peer Energy Trading Market to Mitigate Energy Poverty: A n LLM - RL Agentic Workflow
[IEEE] 2025-11-17 | Destination-Constrained Linear Dynamical System Modeling and Filtering in Set-Valued Frameworks
[IEEE] 2025-11-17 | Analyzing Behavioral Intention in Digital Government Adoption: A Comprehensive Systematic Review
[IEEE] 2025-11-17 | Analysis of the Influence of Changes in Profile Visits, and Accounts Reached Mediated by Total Content Shared on the Level of Atmauv Brand Engagement on the Instagram Platform
[IEEE] 2025-11-17 | Secure Multi-Party Computation using Paillier HE and Simulated BBM92 QKD: A Hybrid Quantum-Classical Approach
[IEEE] 2025-11-17 | Exploring the Role of Metaverse in Education: A Systematic Literature Review
[IEEE] 2025-11-17 | Trailblazing NanoComm through Advanced Architectures and Efficient System Designs
[IEEE] 2025-11-17 | NeuroSync: AI-Enhanced EEG for Sharper BrainDrone Control
[IEEE] 2025-11-17 | Transmission-Level Disaggregation of Distributed PV Power Using Data-Driven Methods
[IEEE] 2025-11-17 | Design of Adaptive Active Filter Using Operational Transconductance Amplifiers in 65nm CMOS
[IEEE] 2025-11-17 | Domain Adaptation for Remote Sensing Scene Classification using Deep Feature Extraction and Granulation combined with ELM classifier
[IEEE] 2025-11-17 | Impedance-Frequency Characteristics of Surface Dry EEG Electrodes Using an Agar-Based Phantom
[IEEE] 2025-11-17 | A Comparative Study of Algorithms for School Timetable Generation
[IEEE] 2025-11-17 | Anomalous Human Activity Detection in Dense Crowds Using Pose, Motion, and Emotion Features
[IEEE] 2025-11-17 | Photovoltaic System Integration with Green Hydrogen: Towards an Innovative, Sustainable and Carbon-Free Solution
[IEEE] 2025-11-17 | Optimizing Compute Express Link Link Layer Using Adaptive Packing-Mode-Selection Algorithm
[IEEE] 2025-11-17 | Integrating Advanced Sensors, Transformer-Based Machine Learning and Edge Computing for Proactive Environmental Management
[IEEE] 2025-11-17 | Fault Detection Method for AC Microgrid Based on Phase Angle Comparison
[IEEE] 2025-11-17 | Consensus Representation for Multiview Clustering Based on Concept Factorization
[IEEE] 2025-11-17 | SiGe BiCMOS Process Design Kit for Cryogenic High-Frequency Applications
[IEEE] 2025-11-17 | TinyRadio: Tiny Neural Networks for Fingerprinting Radio Frequency Signals
[IEEE] 2025-11-17 | A Machine Learning System for Early Detection and Prediction of PM
                    <sub>10</sub>
                    Levels to Enhance Public Awareness
[IEEE] 2025-11-17 | HyPPA: PPA-Aware Hierarchical RTL Generation and Evaluation of RISC-V Cores Using Hyperparameter Tuning
[IEEE] 2025-11-17 | Data-Driven Damping Ratio Estimation and Stability Assessment for VSC-Based Power Systems
[IEEE] 2025-11-17 | Gate All Around Tunnel Field Effect Transistor for Future VLSI Applications
[IEEE] 2025-11-17 | Low-power, Energy-efficient, Cardiologist-level Atrial Fibrillation Detection for Wearable Devices
[IEEE] 2025-11-17 | Mathematical Model of a Saturated Synchronous Motor in Orthogonal d-q Axes as an Element of a Microgrid
[IEEE] 2025-11-17 | FPGA-Based Hardware Accelerator for LWE Encryption and Decryption with TFHE Scheme
[IEEE] 2025-11-17 | Optimizing Wheat Price Forecasting and Reporting through Data Pipelines, Machine Learning, and Automation
[IEEE] 2025-11-17 | IoT-Enabled Cloud Monitoring of Grid-Connected Variable-Speed Wind Energy Systems
[IEEE] 2025-11-17 | Robotization And Control Systems In Digital Marketing
[IEEE] 2025-11-17 | A Comparative Study of Sampling Methods for Imbalanced Credit Card Fraud Detection
[IEEE] 2025-11-17 | Sentiment Analysis on Social Media Using Discrete Hopfield Networks Optimized by Black Hole Algorithm and Enhanced BERT*
[ACM] 2025-11-18 | Proceedings of the 22nd ACM SIGGRAPH European Conference on Visual Media Production
[ACM] 2025-11-17 | The Impact of LLM Assistance on User Spam Detection
[IEEE] 2025-11-17 | Large Multimodal Model-aided Scheduling for 6G Autonomous Communications
[IEEE] 2025-11-17 | TFDCNet: Two-stage multimodal fusion and fine-grained convolutional space propagation network for depth completion of outdoor scenes
[IEEE] 2025-11-17 | Authors
[IEEE] 2025-11-17 | A Visual Annotation-Free Method That Rivals Fully Supervised Methods for Grounded Multimodal Named Entity Recognition
[IEEE] 2025-11-17 | Deep Learning-Based Energy Consumption Modeling in Smart Buildings
[IEEE] 2025-11-17 | Dynamic Enhancement Network with Probability Switch for RGB-T Tracking
[IEEE] 2025-11-17 | Towards Effective and Efficient Non-Autoregressive Decoders for Conformer and LLM-Based ASR Using Block-Based Attention Mask
[IEEE] 2025-11-17 | MobiLLM: Enabling On-Device Fine-Tuning of Billion-Sized LLMs via Server-Assisted Side-Tuning
[IEEE] 2025-11-17 | Towards High-Quality Novel View Synthesis From Nonuniformly Distributed Input Views
[IEEE] 2025-11-17 | Development Status of the HTS SECAS Conductor for a Full-Size Test Sample
[IEEE] 2025-11-17 | An Efficient Measurement Method For Fabric Defect Size Based On Multi-Light-Source Computer Vision
[IEEE] 2025-11-17 | Thrust Ripple Suppression Strategy Based On Quasi Resonant Extended State Observer for PMSLM
[IEEE] 2025-11-17 | Protecting Your Powerpoint Presentations: Camera Shooting Resilient Watermarking
[IEEE] 2025-11-17 | A Survey on Binary and Ternary Neural Networks and Their Realization in Compute-in-Memory for Edge Intelligence
[IEEE] 2025-11-17 | DiffMoECom: Diffusion Mixture of Experts for Channel-Adaptive Semantic Image Communications
[IEEE] 2025-11-17 | PDE Modeling and Shape Control for the Flexible Tube of a Bronchoscope Robot
[IEEE] 2025-11-17 | Programmable Digital Optical Frequency Combs Assisted Transceiver for Covert Communication
[IEEE] 2025-11-17 | A Deep Learning Framework for Fine-Grained Sea Fog Visibility Classification Using Forward-Scattering Sensor Data
[ACM] 2025-11-17 | When Light Bends to the Collective Will: A Theory and Vision for Adaptive Photonic Scale-up Domains
[IEEE] 2025-11-17 | Ultralightweight CNN Model Applying Categorical Focal Loss Function and Data Augmentation for Alzheimer’s Disease Classification
[IEEE] 2025-11-17 | Modeling Gen Z Engagement in Gamified Ecommerce: a Partial Octalysis-Based Informatics Approach
[IEEE] 2025-11-17 | Integrating Local LLMs and Multi-Agent Intelligence for Personalized Eldercare
[IEEE] 2025-11-17 | A Comparative Analysis of OCR Models for Key Information Extraction from Invoices
[IEEE] 2025-11-17 | Engineering Smart Wearable Devices with AI for Cardiovascular Health Monitoring
[IEEE] 2025-11-17 | Voice Pathology Detection Using Convolutional Neural Network and Data Augmentation
[IEEE] 2025-11-17 | Predicting Emotional Well-Being of Gen Z from Social Media Activity Using LSTM: A Deep Learning Approach to Digital Behavior Analysis
[IEEE] 2025-11-17 | Emotion Extraction from ECG and GSR Signals Using BiLSTM Networks
[IEEE] 2025-11-17 | Deep Learning-Driven Audio Sentiment Analysis for Security and Threat Detection
[IEEE] 2025-11-17 | Optimized Crop Disease Detection with Image Processing and Machine Learning Through Data Driven Analysis
[IEEE] 2025-11-17 | Rakshak: An AI-Powered SOS System with Offline and Indoor Emergency Response Capabilities
[IEEE] 2025-11-17 | AI-Driven QoS Management in Wireless Sensor Networks: Enhancing Energy Efficiency and Network Performance
[IEEE] 2025-11-17 | A Comprehensive Machine Learning Strategy for Detecting Autism Spectrum Disorder Through Ensemble Model
[IEEE] 2025-11-17 | Impact of Public Opinion on Financial Markets: Leveraging AI for Sentiment Analysis
[IEEE] 2025-11-17 | Classification of Retinopathy of Prematurity Through Fundus Images Using Deep Learning Algorithms
[IEEE] 2025-11-17 | Review of Topological Data Analysis for Multimodal Geospatial Applications
[IEEE] 2025-11-17 | Efficient Operating Room Scheduling for Pediatric Surgery: A Case Study
[IEEE] 2025-11-17 | Hybrid Ensemble Learning Model based Evaluation of Victim Compensation
[IEEE] 2025-11-17 | Game Theoretic Strategies for Latency Reduction in Fog-Cloud Integration
[IEEE] 2025-11-17 | Edge-Cloud Synergized Digital Twin Framework for Real-Time Decision Intelligence in Industry 5.0-Driven Smart Cities
[IEEE] 2025-11-17 | An Explainable AI Approach to Heart Disease Prediction with Ensemble Methods on Imbalanced Data
[IEEE] 2025-11-17 | Predicting Dynamics of Tensegrity Structures Using Physics-Informed Neural Networks
[IEEE] 2025-11-17 | Communicating and Assessing Digital Trust: Insights from Financial Institutions
[IEEE] 2025-11-17 | Modern Healthcare and Free Space Optics: Opportunities, Challenges, and Applications
[IEEE] 2025-11-17 | Machine Learning Techniques to Detect Cardiovascular Diseases Using ECG Data
[IEEE] 2025-11-17 | ChiselTrace: Typed Behavioral Debugging in Chisel Through Signal Dependency Tracing
[IEEE] 2025-11-17 | Neuromorphic RF Signal Characterization and Feature Extraction
[IEEE] 2025-11-17 | Modelling of Chaotic Phenomena in an Electric Arc Furnace System
[IEEE] 2025-11-17 | HandSpeak: A CNN-Based Deep Learning Framework for Sign Language Recognition
[IEEE] 2025-11-17 | Deployment of renewable energy resources for energy justice and poverty mitigation
[IEEE] 2025-11-17 | ATCM: A Method for Land-Water Classification from Satellite Images Using MobileNetV2
[IEEE] 2025-11-17 | A Continuous Indian Sign Language Production System from Isolated Signs
[IEEE] 2025-11-17 | Fingernail Images as Disease Indicator Through Transfer Learning Xception
[IEEE] 2025-11-17 | Enhanced Android Malware Detection Using a Hybrid Analytical Framework
[IEEE] 2025-11-17 | Ultrasound Image Enhancement Using Modified ESR-GAN
[IEEE] 2025-11-17 | Multi-Core Acceleration of K-Means: A Process-Level Parallelization Strategy for High-Dimensional Clustering
[IEEE] 2025-11-17 | Prediction of PCM-Based Battery Pack Thermal Performance Using a Physics-Informed Neural Network
[IEEE] 2025-11-17 | SparHiXcel: A Cost-Effective Sparsity-Aware Convolutional Accelerator
[IEEE] 2025-11-17 | The PAE Cell: A Novel Multiple Outputs Logic Cell and Technology Mapping for eFPGA
[IEEE] 2025-11-17 | Decoding and Analysis of Matter Network Traffic Using Virtual Environment
[IEEE] 2025-11-17 | DyEKF: Dynamic Protection of Approximate NoC Communications Against Hardware Trojan Attacks
[ACM] 2025-11-17 | Lost in Translation: The Search for Meaning in Network-Attached AI Accelerator Disaggregation
[ACM] 2025-11-17 | Leveraging Certificate Transparency to Mitigate Downgrade Attacks
[ACM] 2025-11-17 | Development and Validation of a Formal Model and Prototype for an Air Traffic Control System
[ACM] 2025-11-17 | Non-Clairvoyant Makespan Minimization Scheduling with Predictions
[ACM] 2025-11-17 | Abstraction in Action: Designing Avatar Representations for Reflective Movement Practice
[IEEE] 2025-11-17 | Zero-Shot Interpretable Image Steganalysis for Invertible Image Hiding
[IEEE] 2025-11-17 | RemoteCare: AI-Driven Multimodal Predictive Framework with Blockchain for Personalized Remote Patient Monitoring in IoMT
[IEEE] 2025-11-17 | Ultra-miniature Optical Fiber Accelerometer Based on a 3D Microprinted Proof Mass-Integrated Fabry-Pérot Micro-interferometer
[IEEE] 2025-11-17 | Machine Learning boosts robust ocean color retrieval in complex atmosphere and ocean systems: taking coastal Forel-Ule Index mapping as an example
[IEEE] 2025-11-17 | Key in the Pocket: Intelligent Key Recovery with Genetic Algorithm in Correlation-enhanced Collision Attacks
[IEEE] 2025-11-17 | NAECON 2025 - IEEE National Aerospace and Electronics Conference
[IEEE] 2025-11-17 | Research on Protection Method for DC Distribution Networks Based on Fault Current Energy Peak-to-Average Ratio
[IEEE] 2025-11-17 | MVMamba: A Multi-scale Vision Mamba based on State Space Duality for Remote Sensing Object Detection
[IEEE] 2025-11-17 | Enabling Trustworthy Recommendations in the Federated IoT: A Secure and Verifiable Tensor Learning Approach
[IEEE] 2025-11-17 | Guiding Robotic Cloth Grasping in Darkness: Infrared Semantic Segmentation and Grasping Position Selection_supp1-3632718.mp4
[IEEE] 2025-11-17 | Toward Temporal Efficient Spiking Neural Network via Dynamic Training and Inference
[IEEE] 2025-11-17 | Channel Ordering for Fairness in Elastic Optical Networks via a LLM-Guided Bottleneck TSP Solver
[IEEE] 2025-11-17 | When Deepfake Meets Backdoor: Leveraging GAN Fingerprints for Data Poisoning Attack
[IEEE] 2025-11-17 | ICSCC 2025 Cover Page
[IEEE] 2025-11-17 | Index
共写入 1881 条记录，保存到 papers/paper2025-11-17.json。
论文获取成功，文件路径: papers/paper2025-11-17.json
正在筛选、翻译并发送邮件...
[NO] 1/1881 | Segment Anything Across Shots: A Method and Benchmark
[NO] 2/1881 | UnSAMv2: Self-Supervised Learning Enables Segment Anything at Any Granularity
[NO] 3/1881 | Shortest fixed-width confidence intervals for a bounded parameter: The Push algorithm
[NO] 4/1881 | Quantum Advantage in Learning Mixed Unitary Channels
[NO] 5/1881 | Cross-Learning from Scarce Data via Multi-Task Constrained Optimization
[NO] 6/1881 | Scientific Data Compression and Super-Resolution Sampling
[NO] 7/1881 | A new generalization of the Narayana numbers inspired by linear operators on associative $d$-ary algebras
[NO] 8/1881 | Integrative Model for Interoception and Exteroception: predictive coding, points of modulation, and testable predictions
[NO] 9/1881 | High-resolution radio imaging of TGSSJ1530+1049, a radio galaxy in a dense environment at z=4
[NO] 10/1881 | Distribution Matching Distillation Meets Reinforcement Learning
[NO] 11/1881 | Degree-of-freedom and optimization-dynamic effects on the observability of Kuramoto-Sivashinsky systems
[NO] 12/1881 | Beyond Mimicry: Preference Coherence in LLMs
[NO] 13/1881 | Sensitivity to low-mass WIMPs with an improved liquid argon ionization response model within the DarkSide programme
[NO] 14/1881 | Variable-temperature attenuator calibration method for on-wafer microwave noise characterization of low-noise amplifiers
[NO] 15/1881 | P1: Mastering Physics Olympiads with Reinforcement Learning
[NO] 16/1881 | A Gentle Introduction to Conformal Time Series Forecasting
[NO] 17/1881 | Lieb-Schultz-Mattis-Type and Laughlin-Type Argument for the Quantum Hall Effect in Lattice Fermions with Spiral Boundary Conditions
[NO] 18/1881 | The Merkle Mountain Belt
[NO] 19/1881 | Development of a Low-Cost, Autonomous Pulse Amplitude Modulated (PAM) Chlorophyll Fluorometer for In-Situ Monitoring of Photosystem II Efficiency
[NO] 20/1881 | Exploring the Effectiveness of Google Play Store's Privacy Transparency Channels
[NO] 21/1881 | Coclique level structure for stochastic chemical reaction networks
[NO] 22/1881 | Any fully graphic region of degree sequences can be sampled rapidly
[NO] 23/1881 | Bimodular Gravity: Unimodularising Bimetric Scalar-Tensor Gravity
[NO] 24/1881 | Sequences of Bivariate Bicycle Codes from Covering Graphs
[NO] 25/1881 | MDIntrinsicDimension: Dimensionality-Based Analysis of Collective Motions in Macromolecules from Molecular Dynamics Trajectories
[NO] 26/1881 | The Final-Stage Bottleneck: A Systematic Dissection of the R-Learner for Network Causal Inference
[NO] 27/1881 | A Hybrid Physics-Driven Neural Network Force Field for Liquid Electrolytes
[NO] 28/1881 | Biggs tree groups
[NO] 29/1881 | Building Egocentric Procedural AI Assistant: Methods, Benchmarks, and Challenges
[NO] 30/1881 | Robust Control Design Using a Hybrid-Gain Finite-Time Sliding-Mode Controller
[NO] 31/1881 | Modified Monte Carlo method with thermostat algorithm for model orthonickelates
[NO] 32/1881 | Souper-Model: How Simple Arithmetic Unlocks State-of-the-Art LLM Performance
[NO] 33/1881 | Pico-Cloud: Cloud Infrastructure for Tiny Edge Devices
[NO] 34/1881 | The Spontaneous Genesis of Solar Prominence Structures Driven by Supergranulation in Three-Dimensional Simulations
[NO] 35/1881 | Referring Camouflaged Object Detection With Multi-Context Overlapped Windows Cross-Attention
[NO] 36/1881 | A Secure Semantic Communication System Based on Knowledge Graph
[NO] 37/1881 | Dynamical Networking of Polymer Networks with Dedicated Cross-linker Particles
[NO] 38/1881 | Tfin Crypto: From Speculation to Optimization in Risk Managed Crypto Portfolio Allocation
[NO] 39/1881 | LLM-based Multi-Agent System for Simulating Strategic and Goal-Oriented Data Marketplaces
[NO] 40/1881 | Laplace Learning in Wasserstein Space
[NO] 41/1881 | Anomalous Higgs Couplings as a Window to New Physics
[NO] 42/1881 | Hybrid-Domain Adaptative Representation Learning for Gaze Estimation
[NO] 43/1881 | Likelihood-guided Regularization in Attention Based Models
[NO] 44/1881 | PIGEON: VLM-Driven Object Navigation via Points of Interest Selection
[NO] 45/1881 | A Price to Enter: Anticipatory Housing Market Sorting and Access Inequality under New York's Congestion Pricing
[YES] 46/1881 | ParaDySe: A Parallel-Strategy Switching Framework for Dynamic Sequence Lengths in Transformer
[NO] 47/1881 | Self-Supervised Ultrasound Screen Detection
[NO] 48/1881 | Cost-Effective Communication: An Auction-based Method for Language Agent Interaction
[NO] 49/1881 | Large Language Models Meet Extreme Multi-label Classification: Scaling and Multi-modal Framework
[NO] 50/1881 | Collision-Free Navigation of Mobile Robots via Quadtree-Based Model Predictive Control
[NO] 51/1881 | GenTract: Generative Global Tractography
[NO] 52/1881 | Linear independence of quantum translates
[NO] 53/1881 | Electroviscous effects in electrolyte liquid flow through an oppositely-charged contraction-expansion microfluidic slit device
[NO] 54/1881 | Infrared photometry and CaT spectroscopy of the most metal-poor in-situ globular cluster VVV-CL001
[NO] 55/1881 | Agent-Oriented Visual Programming for the Web of Things
[NO] 56/1881 | Nanolaser and logic gates on carbon nanotubes
[NO] 57/1881 | Skeletons Speak Louder than Text: A Motion-Aware Pretraining Paradigm for Video-Based Person Re-Identification
[NO] 58/1881 | Automated Road Distress Detection Using Vision Transformersand Generative Adversarial Networks
[YES] 59/1881 | Think with Self-Decoupling and Self-Verification: Automated RTL Design with Backtrack-ToT
[NO] 60/1881 | Soft Conflict-Resolution Decision Transformer for Offline Multi-Task Reinforcement Learning
[NO] 61/1881 | VEIL: Jailbreaking Text-to-Video Models via Visual Exploitation from Implicit Language
[NO] 62/1881 | The Impact of Phosphate Fertilizer Industry Consolidation on Future Phosphorus Supply for World Agriculture
[NO] 63/1881 | Carbon Reduction Potential and Sensitivity Analysis of Rural Integrated Energy System with Carbon Trading and Coordinated Electric-Thermal Demand Response
[NO] 64/1881 | Initial Excitation-based Adaptive Observers for Discrete-Time LTI Systems
[NO] 65/1881 | F.A.C.U.L.: Language-Based Interaction with AI Companions in Gaming
[NO] 66/1881 | Large-scale Multigrid with Adaptive Galerkin Coarsening
[NO] 67/1881 | Evaluating the Ability of Large Language Models to Identify Adherence to CONSORT Reporting Guidelines in Randomized Controlled Trials: A Methodological Evaluation Study
[NO] 68/1881 | BeDiscovER: The Benchmark of Discourse Understanding in the Era of Reasoning Language Models
[NO] 69/1881 | STEP: Success-Rate-Aware Trajectory-Efficient Policy Optimization
[NO] 70/1881 | Topological enhancement of a PT-symmetric Su-Schrieffer-Heeger quantum battery
[NO] 71/1881 | Electron Recoil via Sample Momentum Transfer under Optical Excitation
[NO] 72/1881 | Real-time prediction of breast cancer sites using deformation-aware graph neural network
[NO] 73/1881 | Rethinking Saliency Maps: A Cognitive Human Aligned Taxonomy and Evaluation Framework for Explanations
[NO] 74/1881 | FGNet: Leveraging Feature-Guided Attention to Refine SAM2 for 3D EM Neuron Segmentation
[NO] 75/1881 | MACKO: Sparse Matrix-Vector Multiplication for Low Sparsity
[NO] 76/1881 | Dimension vs. Precision: A Comparative Analysis of Autoencoders and Quantization for Efficient Vector Retrieval on BEIR SciFact
[NO] 77/1881 | ViSS-R1: Self-Supervised Reinforcement Video Reasoning
