[2025-12-10 15:34:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-09
正在获取论文...
[arXiv] 2025-12-09 | Identifying counterfactual probabilities using bivariate distributions and uplift modeling
[NO] 230/1810 | DINO-BOLDNet: A DINOv3-Guided Multi-Slice Attention Network for T1-to-BOLD Generation
[NO] 231/1810 | Limit absorption and Green function estimates for matrix-valued periodic operators
[NO] 232/1810 | PointDico: Contrastive 3D Representation Learning Guided by Diffusion Models
[NO] 233/1810 | Collaborative Intelligence for UAV-Satellite Network Slicing: Towards a Joint QoS-Energy-Fairness MADRL Optimization
[NO] 234/1810 | Emulation of Complex Matrix Multiplication based on the Chinese Remainder Theorem
[NO] 235/1810 | Developing a Strong CPS Defender: An Evolutionary Approach
[NO] 236/1810 | Terrain Diffusion: A Diffusion-Based Successor to Perlin Noise in Infinite, Real-Time Terrain Generation
[NO] 237/1810 | Triality and adjoint lifting for GL(3)
[NO] 238/1810 | Quantum-classical correspondence in resonant and nonresonant Rabi-Stark model
[YES] 239/1810 | rSIM: Incentivizing Reasoning Capabilities of LLMs via Reinforced Strategy Injection
[NO] 240/1810 | Formation and Investigation of Cooperative Platooning at the Early Stage of Connected and Automated Vehicles Deployment
[NO] 241/1810 | OpenSubject: Leveraging Video-Derived Identity and Diversity Priors for Subject-driven Image Generation and Manipulation
[NO] 242/1810 | Rigid body kinematics in an intuitive group-theoretic approach, as completely as possible: Part I Rotational phenomena
[NO] 243/1810 | Model-Based Diffusion Sampling for Predictive Control in Offline Decision Making
[NO] 244/1810 | FedLAD: A Modular and Adaptive Testbed for Federated Log Anomaly Detection
[NO] 245/1810 | EgoX: Egocentric Video Generation from a Single Exocentric Video
[YES] 246/1810 | Token Sugar: Making Source Code Sweeter for LLMs through Token-Efficient Shorthand
[NO] 247/1810 | Geometry-Aligned Differential Privacy for Location-Safe Federated Radio Map Construction
[NO] 248/1810 | Perturbation-based Inference for Extreme Value Index
[NO] 249/1810 | Geometric-Stochastic Multimodal Deep Learning for Predictive Modeling of SUDEP and Stroke Vulnerability
[NO] 250/1810 | Wavelet-Accelerated Physics-Informed Quantum Neural Network for Multiscale Partial Differential Equations
[NO] 251/1810 | SFP: Real-World Scene Recovery Using Spatial and Frequency Priors
[NO] 252/1810 | The Impact of Irradiation on the Radius and Thermal Evolution of Transiting Brown Dwarfs
[NO] 253/1810 | Learning Spatiotemporal Tubes for Temporal Reach-Avoid-Stay Tasks using Physics-Informed Neural Networks
[NO] 254/1810 | Haagerup Symmetry in $(E_8)_1$?
[NO] 255/1810 | Frequency Locking to Environmental Forcing Suppresses Oscillatory Extinction in Phage-Bacteria Interactions
[NO] 256/1810 | Any Old Tom, Dick or Harry: The Citation Impact of First Name Genderedness
[NO] 257/1810 | Correction of Decoupled Weight Decay
[NO] 258/1810 | Restoring Network Evolution from Static Structure
[NO] 259/1810 | Duct boundary conditions for incompressible fluid flows: finite element discretizations and parameter estimation in coronary blood flow
[NO] 260/1810 | Primal-dual policy learning for mean-field stochastic LQR problem
[NO] 261/1810 | Error-Resilient Semantic Communication for Speech Transmission over Packet-Loss Networks
[NO] 262/1810 | First detection of X-ray polarization from the long-period X-ray pulsar 4U 1954+319
[NO] 263/1810 | $D$-dimensional aether charged black hole and aether waves in M-subset of Einstein-aether theory
[NO] 264/1810 | Efficient simulation framework for modeling collective emission in ensembles of inhomogeneous solid-state emitters
[NO] 265/1810 | Bayesian Semiparametric Mixture Cure (Frailty) Models
[NO] 266/1810 | Dual Smoothing for Decentralized Optimization
[NO] 267/1810 | LayerPipe2: Multistage Pipelining and Weight Recompute via Improved Exponential Moving Average for Training Neural Networks
[NO] 268/1810 | Adaptive Matched Filtering for Sensing With Communication Signals in Cluttered Environments
[NO] 269/1810 | Laser-assisted deposition of carbon nanotubes in optical fibers with multiparameter control
[NO] 270/1810 | TreeGRPO: Tree-Advantage GRPO for Online RL Post-Training of Diffusion Models
[NO] 271/1810 | Noise sensitivity on virtually abelian groups
[NO] 272/1810 | Adversarial Barrier in Uniform Class Separation
[YES] 273/1810 | Chat with UAV -- Human-UAV Interaction Based on Large Language Models
[NO] 274/1810 | Well-posedness of a novel Lagrange multiplier formulation for fluid-poroelastic interaction
[NO] 275/1810 | FlowSteer: Conditioning Flow Field for Consistent Image Restoration
[NO] 276/1810 | Universal Adversarial Suffixes Using Calibrated Gumbel-Softmax Relaxation
[NO] 277/1810 | vEDGAR -- Can CARLA Do HiL?
[NO] 278/1810 | Core@Shell AgBr@CsPbBr3 Nanocrystals as Precursors to Hollow Lead Halide Perovskite Nanocubes
[NO] 279/1810 | Fully Decentralized Certified Unlearning
[NO] 280/1810 | Finding All Bounded-Length Simple Cycles in a Directed Graphs -- Revisited
[NO] 281/1810 | Analyzing Deviations from Monotonic Trends through Database Repair
[NO] 282/1810 | Persistent Homology for Labeled Datasets: Gromov-Hausdorff Stability and Generalized Landscapes
[NO] 283/1810 | Expansion formula of one-loop Einstein-Yang-Mills integrand
[NO] 284/1810 | The Radius of PSR J0437-4715 from NICER Data
[NO] 285/1810 | Soft Inductive Bias Approach via Explicit Reasoning Perspectives in Inappropriate Utterance Detection Using Large Language Models
[NO] 286/1810 | Chiral-phonon generation of orbital currents in light transition metals
[NO] 287/1810 | Revisiting the Scaling Properties of Downstream Metrics in Large Language Model Training
[NO] 288/1810 | Toward Quantitative Modeling of Cybersecurity Risks Due to AI Misuse
[NO] 289/1810 | New light mediators and the neutrino fog: Implications from XENONnT nuclear recoil data
[NO] 290/1810 | Enzyme-driven phase separation
[NO] 291/1810 | QSTN: A Modular Framework for Robust Questionnaire Inference with Large Language Models
[NO] 292/1810 | Emergence of dynamical tensor fields in composite models of gravity
[NO] 293/1810 | Privacy-Preserving Identifier Checking in 5G
[NO] 294/1810 | Stochastic gravitational-wave background search using data from five pulsar timing arrays
[NO] 295/1810 | Deterministic randomness extraction for semi-device-independent quantum random number generation
[NO] 296/1810 | Spatio-Temporal Shifting to Reduce Carbon, Water, and Land-Use Footprints of Cloud Workloads
[NO] 297/1810 | Training-Free Dual Hyperbolic Adapters for Better Cross-Modal Reasoning
[NO] 298/1810 | Anisotropic transport in ballistic bilayer graphene cavities
[NO] 299/1810 | L-shadowing for the induced hyperspace homeomorphism
[NO] 300/1810 | Supernovae Shock Breakout from Red Supergiants in Two Dimensions
[NO] 301/1810 | Selfi: Self Improving Reconstruction Engine via 3D Geometric Feature Alignment
[NO] 302/1810 | Failure of the Markov property for stochastic Volterra equations
[NO] 303/1810 | Autonomous multi-ion optical clock with on-chip integrated photonic light delivery
[NO] 304/1810 | A Bayesian Approach Study of Hybrid Neutron Stars
[NO] 305/1810 | Regular black hole sourced by the Dehnen-type distribution of matter: The sound of the event horizon
[NO] 306/1810 | Timing-Error Optimized Architecture for Current-Steering DACs
[NO] 307/1810 | A Unified Symmetry Classification of Magnetic Orders via Spin Space Groups: Prediction of Coplanar Even-Wave Phases
[NO] 308/1810 | Accelerated Rotation-Invariant Convolution for UAV Image Segmentation
[NO] 309/1810 | Decentralized Trust for Space AI: Blockchain-Based Federated Learning Across Multi-Vendor LEO Satellite Networks
[NO] 310/1810 | Platform Competition with User-Generated Content
[NO] 311/1810 | Cultural evolution of human beauty standards
[NO] 312/1810 | Refining Diffusion Models for Motion Synthesis with an Acceleration Loss to Generate Realistic IMU Data
[NO] 313/1810 | Speeding up the Goemans-Williamson randomized procedure by difference-of-convex optimization
[NO] 314/1810 | Rationally Simply Connected Hypersurfaces in Orthogonal Grassmannians
[NO] 315/1810 | The QCD phase diagram
[NO] 316/1810 | A mathematical model of \textit{Culex} population abundance and the impact of vector control interventions in a patchy environment
[NO] 317/1810 | "Nothing about us without us": Perspectives of Global Deaf and Hard-of-hearing Community Members on Sign Language Technologies
[NO] 318/1810 | R-harmonious groups
[NO] 319/1810 | InfiniteVL: Synergizing Linear and Sparse Attention for Highly-Efficient, Unlimited-Input Vision-Language Models
[NO] 320/1810 | Commanding the Foul Shot: A New Ensemble of Free Throw Metrics
[NO] 321/1810 | Point and interval estimators of a changepoint in stochastical dominance between two distributions
[NO] 322/1810 | Probing the environment around GW170817 with DESI: insights on galaxy group peculiar velocities for standard siren measurements
[NO] 323/1810 | Multi state neurons
[NO] 324/1810 | PrivTune: Efficient and Privacy-Preserving Fine-Tuning of Large Language Models via Device-Cloud Collaboration
[NO] 325/1810 | Performance Comparison of Aerial RIS and STAR-RIS in 3D Wireless Environments
[NO] 326/1810 | Dark Photons in the Early Universe: From Thermal Production to Cosmological Constraints
[NO] 327/1810 | Photonic Quantum-Accelerated Machine Learning
[NO] 328/1810 | Astra: General Interactive World Model with Autoregressive Denoising
[NO] 329/1810 | Resolving the (Debate About) Nozzle Shocks in Tidal Disruption Events
[NO] 330/1810 | Reddening sequences and mutation of infinite quivers
[NO] 331/1810 | Family of hyperbolic manifolds with exponential homology torsion growth
[NO] 332/1810 | Architecture Design for Rise/Fall Asymmetry Glitch Minimization in Current-Steering DACs
[NO] 333/1810 | On the Prague dimension of sparse random graphs
[NO] 334/1810 | Unsupervised Learning of Density Estimates with Topological Optimization
[NO] 335/1810 | Emergent Non-Markovianity in Logical Qubit Dynamics
[NO] 336/1810 | No Labels, No Problem: Training Visual Reasoners with Multimodal Verifiers
[NO] 337/1810 | SATGround: A Spatially-Aware Approach for Visual Grounding in Remote Sensing
[NO] 338/1810 | Spreading processes on heterogeneous active systems: spreading threshold, immunization strategies, and vaccination noise
[NO] 339/1810 | When Tables Leak: Attacking String Memorization in LLM-Based Tabular Data Generation
[YES] 340/1810 | Fed-SE: Federated Self-Evolution for Privacy-Constrained Multi-Environment LLM Agents
[NO] 341/1810 | A New Application of Hoeffding's Inequality Can Give Traders Early Warning of Financial Regime Change
[NO] 342/1810 | Monadic reconstruction of unitary Drinfeld centers and Factorization Homology
[NO] 343/1810 | Near real-time channel selection for Distributed Acoustic Sensing technology
[NO] 344/1810 | Two-loop renormalization of general bosonic effective field theories
[NO] 345/1810 | CARLoS: Retrieval via Concise Assessment Representation of LoRAs at Scale
[NO] 346/1810 | Exploring the binary origin of B and Be rapid rotators
[NO] 347/1810 | WikIPedia: Unearthing a 20-Year History of IPv6 Client Addressing
[NO] 348/1810 | Self-Reinforced Deep Priors for Reparameterized Full Waveform Inversion
[NO] 349/1810 | Update of the nonlocal sub-leading ${O}_1$-${O}_7$ contribution to $\bar B \to X_s γ$ at LO
[NO] 350/1810 | A Task Parallel Orthonormalization Multigrid Method For Multiphase Elliptic Problems
[NO] 351/1810 | Surface-modes mediated long-range radiative heat transfer through a plasmonic Su-Schrieffer-Heeger chain
[NO] 352/1810 | MBE obtained n-CdO:Eu p-Si heterojunctions -- electron beam induced profiling, electrical and structural properties
[NO] 353/1810 | Radiative process of tripartite entangled probes in inertial motion
[NO] 354/1810 | Polarization Dependent Enhancement of Magnetic Dipolar Emission with Silicon Nanodimers
[NO] 355/1810 | Aliasing in Near-Field Array Ambiguity Functions: a Spatial Frequency-Domain Framework
[NO] 356/1810 | High-Performance Dual-Arm Task and Motion Planning for Tabletop Rearrangement
[NO] 357/1810 | The Instability of Painlevé Equations in Recovering Largest Eigenvalue Distributions of GUE, LUE, JUE and an Attempt of Solution to It
[NO] 358/1810 | Linearity and virtual poly-freeness of the fundamental group of plane curves of degree at most five
[NO] 359/1810 | Exploring the Garden of Forking Paths in Empirical Software Engineering Research: A Multiverse Analysis
[NO] 360/1810 | Euclid Quick Data Release (Q1): Euclid spectroscopy of QSOs. 1. Identification and redshift determination of 3500 bright QSOs
[NO] 361/1810 | Langevin equation with potential of mean force: The case of anchored bath
[NO] 362/1810 | Molybdenum Disulfide Bilayers Hybridized with Reduced Graphene Oxide Nanosheets for Enhanced Hydrogen Evolution Reaction
[NO] 363/1810 | Backwards Gamma-Ray Bursts: Searching for Exploding Primordial Black Holes in Short-Duration GRB Catalogs
[NO] 364/1810 | Photonic electrometry using a piezoelectric-Pockels microresonator
[NO] 365/1810 | Data-Driven Dynamic Parameter Learning of manipulator robots
[NO] 366/1810 | Financial News Summarization: Can extractive methods still offer a true alternative to LLMs?
[NO] 367/1810 | Skewness-Guided Pruning of Multimodal Swin Transformers for Federated Skin Lesion Classification on Edge Devices
[NO] 368/1810 | Two-phase hydrodynamic model of active colloid motion
[NO] 369/1810 | Pose-Based Sign Language Spotting via an End-to-End Encoder Architecture
[NO] 370/1810 | SegEarth-OV3: Exploring SAM 3 for Open-Vocabulary Semantic Segmentation in Remote Sensing Images
[NO] 371/1810 | Long-time evolution of density layers and interfaces in forced stably-stratified flows
[NO] 372/1810 | Bruhat Preclosure
[NO] 373/1810 | Incoherent repumping scheme in the $^{88}$Sr$^{+}$ five-level manifold
[NO] 374/1810 | A magnetar outburst with atypical evolution: the case of Swift J1555.2-5402
[NO] 375/1810 | Non-Hermitian symmetry breaking and Lee-Yang theory for quantum XYZ and clock models
[NO] 376/1810 | Engineering Topological Bands in Strained Covalent Organic Frameworks
[NO] 377/1810 | Reusability in MLOps: Leveraging Ports and Adapters to Build a Microservices Architecture for the Maritime Domain
[NO] 378/1810 | Weakly $\mathcal U(d)$-homogeneous commuting tuple of bounded operators
[NO] 379/1810 | Systematic investigation of the spectroscopy and decay behaviors of doubly-charmed pentaquarks
[NO] 380/1810 | Applications of Interval-based Temporal Separation: the Reactivity Normal Form, Inverse $Π$, Craig Interpolation and Beth Definability
[NO] 381/1810 | Collider Probes of Four-Lepton Final States in Maximally Flavor-Violating $U(1)_{L_μ-L_τ}$ Model
[NO] 382/1810 | See-Control: A Multimodal Agent Framework for Smartphone Interaction with a Robotic Arm
[NO] 383/1810 | Inferring Causal Relationships to Improve Caching for Clients with Correlated Requests: Applications to VR
[NO] 384/1810 | Flat Vector Bundles on Very General Curves and Codimension of Non-Abelian Hodge Loci
[NO] 385/1810 | Gradient-based optimization of scatterer arrangements based on the T-Matrix method
[NO] 386/1810 | Quantum particle production and radiative properties of a new bumblebee black hole
[NO] 387/1810 | Pulse Shape Discrimination for Germanium Detectors using Variational Quantum Circuits
[NO] 388/1810 | Hydrodynamic limit of the Vlasov-Poisson-Fokker-Planck system in low-field regime
[NO] 389/1810 | Soil Compaction Parameters Prediction Based on Automated Machine Learning Approach
[NO] 390/1810 | Chern Conjecture on Minimal Willmore Hypersurfaces with Constant Scalar Curvature
[NO] 391/1810 | Multi-Agent Deep Reinforcement Learning for Collaborative UAV Relay Networks under Jamming Atatcks
[NO] 392/1810 | Critical Thresholds in Non-Pharmaceutical Interventions for Epidemic Control
[NO] 393/1810 | Bi^2MAC: Bimodal Bi-Adaptive Mask-Aware Convolution for Remote Sensing Pansharpening
[YES] 394/1810 | Argus: A Multi-Agent Sensitive Information Leakage Detection Framework Based on Hierarchical Reference Relationships
[NO] 395/1810 | GeoDM: Geometry-aware Distribution Matching for Dataset Distillation
[NO] 396/1810 | Minimizing Layerwise Activation Norm Improves Generalization in Federated Learning
[NO] 397/1810 | Möbius Transformations and the Analytic--Geometric Reconstruction of the Induction--Machine Circle Diagram
[NO] 398/1810 | Secure Audio Embedding in Images using Nature-Inspired Optimization
[NO] 399/1810 | Optics experiments as a tool for developing critical thinking in physics education
[YES] 400/1810 | Towards a Science of Scaling Agent Systems
[YES] 401/1810 | Exposing and Defending Membership Leakage in Vulnerability Prediction Models
[YES] 402/1810 | Systematization of Knowledge: Security and Safety in the Model Context Protocol Ecosystem
[NO] 403/1810 | Ultrafast light-induced formation of a metastable hidden state in bismuth vanadate
[NO] 404/1810 | Nucleon Structure from Basis Light-Front Quantization : Status and Prospects
[NO] 405/1810 | On a bound of $p$-ranks of Iwasawa modules of $\mathbb{Z}_p$-extensions over a quartic CM-field
[NO] 406/1810 | $0$-affine quantum groups as K-theoretic Hall algebras
[NO] 407/1810 | Direct Product Theorems for Randomized Query Complexity
[NO] 408/1810 | Mathematical Foundations of Neural Tangents and Infinite-Width Networks
[NO] 409/1810 | Ion-beam driven dust-cyclotron and dust-lower-hybrid instabilities in nonthermal dusty magnetoplasmas with dust-charge fluctuation
[NO] 410/1810 | Query-aware Hub Prototype Learning for Few-Shot 3D Point Cloud Semantic Segmentation
[NO] 411/1810 | Causal inference under interference: computational barriers and algorithmic solutions
[NO] 412/1810 | 1024-Channel 0.8V 23.9-nW/Channel Event-based Compute In-memory Neural Spike Detector
[NO] 413/1810 | HybridToken-VLM: Hybrid Token Compression for Vision-Language Models
[NO] 414/1810 | SpeechQualityLLM: LLM-Based Multimodal Assessment of Speech Quality
[NO] 415/1810 | FastBEV++: Fast by Algorithm, Deployable by Design
[NO] 416/1810 | Wishart kernel density estimation for strongly mixing time series on the cone of positive definite matrices
[NO] 417/1810 | New VVC profiles targeting Feature Coding for Machines
[NO] 418/1810 | SOP^2: Transfer Learning with Scene-Oriented Prompt Pool on 3D Object Detection
[NO] 419/1810 | Direct Generation of an Array with 78400 Optical Tweezers Using a Single Metasurface
[NO] 420/1810 | Blur2Sharp: Human Novel Pose and View Synthesis with Generative Prior Refinement
[NO] 421/1810 | The Birth of Be Star Disks II. A High-Resolution Spectroscopic Campaign and TESS Observations of an Outburst of the Classical Be star λ Pavonis
[NO] 422/1810 | Metasurfaces Enable Active-Like Passive Radar
[NO] 423/1810 | Unitarity of highest weight Harish-Chandra modules and smoothness of Schubert varieties
[NO] 424/1810 | The Locally Complexified-gentle Algebras
[NO] 425/1810 | Supermassive Black Holes with High Accretion Rates in Active Galactic Nuclei. XV. Reverberation Mapping of Mg II Emission Lines
[NO] 426/1810 | On the knot types of periodic Reeb orbits of dynamically convex contact forms
[NO] 427/1810 | Embodied Tree of Thoughts: Deliberate Manipulation Planning with Embodied World Model
[NO] 428/1810 | Notes on the multiplier systems of $η(τ)$ and $θ(τ)$
[NO] 429/1810 | A Practical Framework for Evaluating Medical AI Security: Reproducible Assessment of Jailbreaking and Privacy Vulnerabilities Across Clinical Specialties
[NO] 430/1810 | Nonparametric inference with massive data via grouped empirical likelihood
[NO] 431/1810 | GeoLoom: High-quality Geometric Diagram Generation from Textual Input
[NO] 432/1810 | Worst-case generation via minimax optimization in Wasserstein space
[NO] 433/1810 | Security Analysis of Integer Learning with Errors with Rejection Sampling
[NO] 434/1810 | Reeb Graph of Sample Thickenings
[NO] 435/1810 | Anisotropic nonrelativistic charge-to-spin conversion in altermagnets
[NO] 436/1810 | Detecting quantum many-body states with imperfect measuring devices
[NO] 437/1810 | Uncertainty quantification for mixed membership in multilayer networks with degree heterogeneity using Gaussian variational inference
[NO] 438/1810 | Non-parametric assessment of the calibration of individualized treatment effects
[NO] 439/1810 | Competition for being visited first and ordered search deterrence
[NO] 440/1810 | Multi-agent learning under uncertainty: Recurrence vs. concentration
[NO] 441/1810 | Single-step laser patterning and thinning of biocompatible MEMS flow sensor
[NO] 442/1810 | Small time asymptotics of spectral heat content of isotropic processes
[NO] 443/1810 | The SMART+ Framework for AI Systems
[NO] 444/1810 | On essential simplicial maps $S^3 \rightarrow S^2$
[NO] 445/1810 | Improved Local Well-Posedness in Sobolev Spaces for Two-Dimensional Compressible Euler Equations
[NO] 446/1810 | Instance-Aware Test-Time Segmentation for Continual Domain Shifts
[NO] 447/1810 | Basic Lock Algorithms in Lightweight Thread Environments
[NO] 448/1810 | Removal of the Tachyons from the Fermionic Sector of the Quadratic ZX Action for the Exotic Model (E8)
[NO] 449/1810 | Extended formulations for induced tree and path polytopes of chordal graphs
[NO] 450/1810 | Bridging Scale Discrepancies in Robotic Control via Language-Based Action Representations
[NO] 451/1810 | Optimal Control of Behavioral-Feedback SIR Epidemic Model
[NO] 452/1810 | Photo3D: Advancing Photorealistic 3D Generation through Structure-Aligned Detail Enhancement
[NO] 453/1810 | A Lie-theoretic generalization of some Hilbert schemes
[NO] 454/1810 | A Search for Transit Duration Variations in M dwarf Multi-Planet Systems
[NO] 455/1810 | Weak disjointness of hypercyclic operators
[NO] 456/1810 | Supervised Classification of LEO Debris Families Using Multi-Set Proper Elements
[NO] 457/1810 | Investigating ionising sources and the complex interstellar medium of GHZ2 at $z=12.3$
[NO] 458/1810 | J-PAS: First Identification, Physical Properties and Ionization Efficiency of Extreme Emission Line Galaxies
[NO] 459/1810 | Construction and Performance of Kinetic Schemes for Linear Systems of Conservation Laws
[NO] 460/1810 | Benchmarking First-Principles Approaches for Extracting Magnetic Exchange Interactions
[NO] 461/1810 | Synthesis, Growth Mechanism, and Photocatalytic Properties of Metallic-Bi/Bi13S18Br2 Nano-Bell Heterostructures
[NO] 462/1810 | High-performance computing enabled contingency analysis for modern power networks
[NO] 463/1810 | Measuring Agile Agreement: Development and Validation of the Manifesto and Principle Scales
[NO] 464/1810 | Heralded generation of a three-mode NOON state
[NO] 465/1810 | From Accuracy to Impact: The Impact-Driven AI Framework (IDAIF) for Aligning Engineering Architecture with Theory of Change
[NO] 466/1810 | Learned iterative networks: An operator learning perspective
[NO] 467/1810 | High-OAM Deep Ultraviolet Twisted Light Generation for RF-Photoinjector Applications
[NO] 468/1810 | Leveraging Multispectral Sensors for Color Correction in Mobile Cameras
[NO] 469/1810 | Time and Money Matters for Sustainability: Insights on User Preferences on Renewable Energy for Electric Vehicle Charging Stations
[NO] 470/1810 | The unexpected dewetting during growth of silicene flakes with dendritic pyramids
[NO] 471/1810 | When Medical AI Explanations Help and When They Harm
[NO] 472/1810 | Integration of AI-Driven CAD Systems in Designing Water and Power Transportation Infrastructure for Industrial and Remote Landscape Applications
[NO] 473/1810 | Dynamics of an internally actuated weakly elastic sphere in a general quadratic flow
[NO] 474/1810 | Learning Robot Manipulation from Audio World Models
[NO] 475/1810 | A cold beam of BaOH molecules using a water-vapour seeded neon gas
[NO] 476/1810 | Detection of Digital Facial Retouching utilizing Face Beauty Information
[NO] 477/1810 | Self-Alignment Resonant Beam Empowers Beamforming without Estimation and Control for 6G IoT
[NO] 478/1810 | Constraint-oriented biased quantum search for general constrained combinatorial optimization problems
[NO] 479/1810 | Kick & spin: new probes for multi-messenger black-hole mergers in AGNs
[NO] 480/1810 | Sharp Regularizing Effect of the Cauchy Problem for the Inhomogeneous Non-Cutoff Kac Equation
[NO] 481/1810 | A unified planar network approach to total positivity of combinatorial matrices and real-rootedness of polynomials
[NO] 482/1810 | Probing Cosmic Strings via Black Hole Quasinormal Modes in Gravitational Wave Astronomy
[NO] 483/1810 | Reflecting with Two Voices: A Co-Adaptive Dual-Strategy Framework for LLM-Based Agent Decision Making
[NO] 484/1810 | A reconstructed discontinuous approximation for distributed elliptic control problems
[NO] 485/1810 | Floquet Topological Frequency-Converting Amplifier
[NO] 486/1810 | Diffusion and relaxation of topological excitations in layered spin liquids
[NO] 487/1810 | L-equivalence and Fourier--Mukai partners of cubic fourfolds
[NO] 488/1810 | Fluctuations from a random fractional averaging limit
[NO] 489/1810 | Nonequilibrium Photocarrier and Phonon Dynamics from First Principles: a Unified Treatment of Carrier-Carrier, Carrier-Phonon, and Phonon-Phonon Scattering
[NO] 490/1810 | Many interacting particles in solution. III. Spectral analysis of the associated Neumann--Poincaré-type operators
[NO] 491/1810 | Dubrovin duality for open Hurwitz flat F-manifolds
[NO] 492/1810 | Disentangling the unusual magnetic anisotropy of the near-room-temperature ferromagnet Fe$_{4}$GeTe$_{2}$
[NO] 493/1810 | Toward Practical Forecasts of Public Sentiments via Convexification for Mean Field Games: Evidence from Real World COVID-19 Discussion Data
[NO] 494/1810 | Commissioning of an experiment for thermodynamic and spectroscopic studies of hydrogen isotopologues at cryogenic conditions
[NO] 495/1810 | L-algebras and their ideals: from simplicity to semidirect products
[NO] 496/1810 | Three views on the thinned Bernoulli field on the line
[NO] 497/1810 | Can TabPFN Compete with GNNs for Node Classification via Graph Tabularization?
[NO] 498/1810 | Graph Quantum Magic Squares and Free Spectrahedra
[NO] 499/1810 | Predicting Infall Time of Milky-Way Satellites via Machine Learning
[NO] 500/1810 | Exploring the Grassroots Understanding and Practices of Collective Memory Co-Contribution in a University Community
[NO] 501/1810 | A Systematic Evaluation of Preference Aggregation in Federated RLHF for Pluralistic Alignment of LLMs
[NO] 502/1810 | Neutrino pair bremsstrahlung due to electromagnetic collisions in neutron star cores revisited
[NO] 503/1810 | Fluent Alignment with Disfluent Judges: Post-training for Lower-resource Languages
[NO] 504/1810 | De novo generation of functional terpene synthases using TpsGPT
[NO] 505/1810 | Wan-Move: Motion-controllable Video Generation via Latent Trajectory Guidance
[NO] 506/1810 | Learning and Editing Universal Graph Prompt Tuning via Reinforcement Learning
[NO] 507/1810 | Spontaneous Ratchet Currents and Transition Dynamics in Active Wetting
[NO] 508/1810 | Vacuum Energy and Topological Mass in Interacting Elko and Scalar Field Theories
[NO] 509/1810 | Parallel Batch Dynamic Vertex Coloring in $O(\log Δ)$ Amortized Update Time
[NO] 510/1810 | Insured Agents: A Decentralized Trust Insurance Mechanism for Agentic Economy
[NO] 511/1810 | Investigation of Radiation Emitted by Sub GeV Electrons in Oriented Scintillator Crystals
[NO] 512/1810 | Mitigating Individual Skin Tone Bias in Skin Lesion Classification through Distribution-Aware Reweighting
[NO] 513/1810 | Exponential blow-up of mild solutions to the fractional Boussinesq equations in the Gevrey class
[NO] 514/1810 | Stabilized symplectic embeddings of higher-dimensional ellipsoids
[NO] 515/1810 | On the Homotopy Type of Balanced subsets
[YES] 516/1810 | RESTifAI: LLM-Based Workflow for Reusable REST API Testing
[NO] 517/1810 | Sleep effects on brain, cognition, and mental health during adolescence are mediated by the glymphatic system
[NO] 518/1810 | VI-MMRec: Similarity-Aware Training Cost-free Virtual User-Item Interactions for Multimodal Recommendation
[NO] 519/1810 | Model-based Testing of Practical Distributed Systems in Actor Model
[NO] 520/1810 | What really matters for person re-identification? A Mixture-of-Experts Framework for Semantic Attribute Importance
[NO] 521/1810 | Plasma waveguides for high-intensity laser pulses
[NO] 522/1810 | On the Number of Posets
[NO] 523/1810 | Resolvable Triple Arrays
[NO] 524/1810 | Raimi's theorem for manifolds with circle symmetry
[NO] 525/1810 | Dual-Branch Center-Surrounding Contrast: Rethinking Contrastive Learning for 3D Point Clouds
[NO] 526/1810 | Sim2Swim: Zero-Shot Velocity Control for Agile AUV Maneuvering in 3 Minutes
[NO] 527/1810 | Global Weak Solutions for the High--Friction Quantum Navier--Stokes--Poisson Model
[NO] 528/1810 | Predicting Quasar Counts Detectable in the LSST Survey
[NO] 529/1810 | Perfect continuous-variable quantum microcombs
[NO] 530/1810 | Aerial Vision-Language Navigation with a Unified Framework for Spatial, Temporal and Embodied Reasoning
[NO] 531/1810 | The Stéphanois theorem with only prime isogenies
[NO] 532/1810 | OpenMonoGS-SLAM: Monocular Gaussian Splatting SLAM with Open-set Semantics
[NO] 533/1810 | New Constructions of SSPDs and their Applications
[NO] 534/1810 | HealthcareNLP: where are we and what is next?
[NO] 535/1810 | Compact Runge-Kutta flux reconstruction methods for non-conservative hyperbolic equations
[NO] 536/1810 | The Two-Dimensional Structure of Circumplanetary Disks and their Radiative Signatures
[NO] 537/1810 | NLoS Localization with Single Base Station Based on Radio Map
[NO] 538/1810 | Decoupled Design of Time-Varying Control Barrier Functions via Equivariances
[NO] 539/1810 | Skew polynomial representations of matrix algebras and applications to coding theory
[NO] 540/1810 | Comparison of canonical periods under base change
[NO] 541/1810 | Examining Student Interactions with a Pedagogical AI-Assistant for Essay Writing and their Impact on Students Writing Quality
[NO] 542/1810 | Long-Sequence LSTM Modeling for NBA Game Outcome Prediction Using a Novel Multi-Season Dataset
[NO] 543/1810 | Enhancing Kernel Search with Pattern Recognition: the Single-Source Capacitated Facility Location Problem
[NO] 544/1810 | Integrating Public Input and Technical Expertise for Effective Cybersecurity Policy Formulation
[NO] 545/1810 | BrainExplore: Large-Scale Discovery of Interpretable Visual Representations in the Human Brain
[NO] 546/1810 | Supercritical-subcritical correspondence, asymmetric effects and antisymmetric corrections near a critical point
